Question	Wire was looped several times around an iron nail, and the wire's ends were connected to a battery. For which of these will this device most likely be used?	question
Answer	to create a magnetic field	answer
0	a nail is a kind of object	nongold
1	a electromagnet is formed by attaching an iron nail wrapped in a copper wire to a circuit	gold
2	if battery in an electromagnet is active then the nail in the electromagnet will become magnetic	nongold
3	nails are often made of iron	nongold
4	iron nails are made of iron	nongold
5	a battery is a kind of object	nongold
6	looping is similar to wrapping	gold
7	a battery is a source of electrical energy; electricity	nongold
8	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
9	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
10	a conducting metal loop is a kind of electromagnet	nongold
11	a wire is a kind of object	nongold
12	electromagnets generate magnetic fields	gold
13	creating a simple circuit requires a wire; battery	gold
14	an electromagnet is a kind of device	gold
15	a wire is usually made of metal	nongold
16	passing a magnet through a closed loop of wire generates an electric current	nongold
17	an electromagnet contains a wire; cylindrical ferrous metal	nongold
18	a  battery  is a kind of electrical power source	nongold
19	moving a coil of wire in the magnetic field generates electrical current	nongold
20	iron is always magnetic	nongold
21	an electromagnet is a kind of electric magnet	nongold
22	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
23	magnetic force means magnetism	nongold
24	metal is sometimes magnetic	nongold
25	to produce means to create	nongold
26	soft iron; iron is always ferromagnetic; magnetic	nongold
27	to create means to make	nongold
28	a magnetic field is a kind of force	nongold
29	a magnet is a kind of object	nongold
30	a battery-operated device is a kind of electrical device	nongold
31	electric currents produce magnetic fields	nongold
32	a device is a kind of object	nongold
33	a magnet moving in a coil of copper wire can cause an electric current	nongold
34	a battery converts chemical energy into electrical energy for powering electrical devices	nongold
35	magnetic energy is a kind of energy	nongold
36	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
37	if something contains a large amount of magnetic material then that something will attract magnets	nongold
38	a wire is a part of an electrical circuit for conducting electricity	nongold
39	creating is similar to causing	nongold
40	magnet can be  used for separating a magnetic material from a mixture of a magnetic and nonmagnetic material	nongold
41	batteries can be used to power electrical devices	nongold
42	battery-powered is similar to battery-operated	nongold
43	magnetic separation is using a magnet to attract magnetic material from the mixture of magnetic and nonmagnetic material	nongold
44	metal is an  electrical; electrical energy conductor	nongold
45	electromagnets can be powered by electricity	nongold
46	to form means to create	nongold
47	to increase is similar to to create	nongold
48	to generate means to create	gold
49	creating means making	nongold
50	iron is a kind of metal	nongold
51	to be used for something means to be required by that something	nongold
52	steel; carbon steel is always ferromagnetic; magnetic	nongold
53	an electromagnet requires a ferrous metal to be the core	nongold
54	metal is a kind of material	nongold
55	Magnetoplumbite is always magnetic	nongold
56	device means tool	nongold
57	using an object often requires creating that object	nongold
58	Siderite is always magnetic	nongold
59	a larger power source provides more current to a wire; a conductor; an electromagnet	nongold
60	a machine is a kind of  device	nongold
61	Magnetite is always magnetic	nongold
62	metal is a kind of substance	nongold
63	the core of an electromagnet is the metal	nongold
64	a battery contains chemical energy	nongold
65	magnetic attraction pulls two objects together	nongold
66	to serve as means to be used as	nongold
67	a tool is a kind of object	nongold
68	can be means able to be	nongold
69	Goslarite is always magnetic	nongold
70	the function of something is what that something  is used to do	nongold
71	a wire is a kind of path for electricity	nongold
72	powering an electrical device with a battery requires a path for electricity to flow through a closed circuit	nongold
73	magnetism is a kind of energy	nongold
74	developing means creating; inventing	nongold
75	electricity is made of moving charges; moving charged particles	nongold
76	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
77	a machine is a kind of object	nongold
78	batteries convert chemical energy to electrical energy	nongold
79	something is used for that something's purpose	nongold
80	form means kind	nongold
81	electricity means electrical energy	nongold
82	electrical current running through a wire causes that wire to heat up; to become warm	nongold
83	Epidote is always magnetic	nongold
84	a cable is similar to a wire	nongold
85	to produce means to provide	nongold
86	charging a battery is when energy is converted into potential energy in the battery to store the energy	nongold
87	products are formed; are produced; are created	nongold
88	a type is synonymous with a kind	nongold
89	a source of something emits; produces; generates; provides that something	nongold
90	if an object is made of a material then that object has the properties of that material	nongold
91	often is similar to likely	nongold
92	a field is a kind of environment	nongold
93	size of the object attracted by the electromagnet has no impact on the strength of the electromagnet	nongold
94	electrical energy is a kind of energy	nongold
95	steel is a kind of metal	nongold
96	to cause means to make	nongold
97	instrument means device	nongold
98	an iron chain is made of iron	nongold
99	affected means changed	nongold
