Question	Students planned an investigation that included adding a quantity of vinegar to a small amount of baking soda. Which is the best tool to measure the volume of the liquid vinegar used in the investigation?	question
Answer	graduated cylinder	answer
0	a graduated cylinder is used to measure volume of a liquid; of an object	gold
1	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	gold
2	vinegar is a kind of liquid	gold
3	vinegar is a kind of solution of acetic acid and water	nongold
4	a graduated cylinder is a kind of container	nongold
5	investigating sometimes requires measuring	nongold
6	baking soda can react chemically with vinegar	nongold
7	vinegar is a kind of acid	nongold
8	investigation sometimes requires experimentation	nongold
9	baking soda is a kind of solid	nongold
10	quantity means amount	nongold
11	a student is a kind of human	nongold
12	baking is when a human makes food by adding heat	nongold
13	investigating a stage of something means investigating that something	nongold
14	vinegar is acidic	nongold
15	An example of a solution is vinegar mixed with water	nongold
16	instrument means tool	gold
17	to add means to increase	nongold
18	soda is a kind of carbonated beverage	nongold
19	device means tool	nongold
20	volume is a property of matter	nongold
21	Matter in the gas phase has variable volume	nongold
22	investigating requires gathering information	nongold
23	a tool is a kind of object	nongold
24	experimentation requires measuring	nongold
25	a container contains objects; material; substances	nongold
26	investigating is a kind of process	nongold
27	density is a measure of mass of an object over volume; divided by volume	nongold
28	Matter in the liquid phase has definite volume	nongold
29	size; amount of space means volume	nongold
30	mixing baking soda; water causes an explosion	nongold
31	a liquid is a kind of substance	nongold
32	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
33	milliliters is a kind of unit for measuring volume of liquids	nongold
34	material means substance	nongold
35	vinegar can cause harm to the eyes	nongold
36	a lot means large in amount; quantity	nongold
37	the reaction between baking soda and vinegar is a kind of endothermic reaction	nongold
38	studying is similar to investigating	nongold
39	moisture means liquid; liquid water	nongold
40	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
41	an part of an object is smaller than the entire object	nongold
42	Matter in the solid phase has definite volume	nongold
43	volume has no impact on boiling; melting; freezing point	nongold
44	a living thing is a kind of object	nongold
45	a container is a kind of object	nongold
46	high is similar to increase	nongold
47	liters are a kind of unit for measuring volume of liquids	nongold
48	if an object is made of a material then that object has the properties of that material	nongold
49	if an object has a small volume and large mass , then the object will  have a high density	nongold
50	a rain gauge is a kind of graduated cylinder	nongold
51	objects are made of materials; substances; matter	nongold
52	answering questions requires information	nongold
53	contents means the substance in a container	nongold
54	when a flexible container is filled with a substance , then the volume of the container will be the volume of the substance	nongold
55	to add means to combine	nongold
56	if an event occurs by adding something then that event requires that something	nongold
57	water is a kind of substance	nongold
58	liquid is a kind of state of matter	nongold
59	a meter is a kind of unit for measuring distance; measuring length	nongold
60	a source of something emits; produces; generates; provides that something	nongold
61	the volume of an object can be used to describe  the size of that object	nongold
62	a product is a kind of object	nongold
63	matter; materials; substances are made of atoms; particles	nongold
64	soda water is a kind of carbonated beverage	nongold
65	particles in objects are a kind of matter	nongold
66	increase means more	nongold
67	less dense liquids; particles in liquids; materials float liquids; particiles in liquids; materials that are more dense	nongold
68	measuring sometimes requires  recording; learning an amount	nongold
69	an instrument is a piece of equipment	nongold
70	if a container contains something then that container touches that something	nongold
71	an event is a kind of action	nongold
72	property is similar to measurement	nongold
73	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
74	a human is a kind of animal	nongold
75	a solid is a kind of substance	nongold
76	substances are made of matter	nongold
77	water is a kind of object	nongold
78	gas is a kind of material	nongold
79	variable means able to change	nongold
80	placing an object into a liquid causes the volume of the liquid to increase by the volume of object under the liquid	nongold
81	a surface is a part of a material	nongold
82	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
83	the function of something is what that something  is used to do	nongold
84	sample is similar to small amount of substance; matter	nongold
85	instrument means device	nongold
86	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
87	a beverage is a kind of liquid	nongold
88	heat means heat energy	nongold
89	an increase is the opposite of a decrease	nongold
90	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
91	greatest means largest; highest; most amount of something	nongold
92	gas is a kind of substance	nongold
93	a surface is a part of an object	nongold
94	to raise means to add	nongold
95	seconds are used to measure time	nongold
96	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
97	a device is a kind of object	nongold
98	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
99	a measuring cup is a kind of tool for measuring the volume of substances	nongold
