Question	Which of the following will reduce a home electric bill?	question
Answer	drying clothes on a clothesline on sunny days	answer
0	drying clothes on a clothesline does not require electricity	gold
1	washing clothes requires water use	nongold
2	to reduce means to decrease	gold
3	as a resource is used less , the lower an electric bill is	gold
4	a sunny day has  lots of sunlight	nongold
5	sunny is a kind of weather	nongold
6	electricity sometimes is used for heating buildings; substances	nongold
7	solar energy is a source of electricity	nongold
8	electricity means electrical energy	nongold
9	counter means reduce; stop; resist	nongold
10	drying means amount of water; amount of liquid; wetness decreases	nongold
11	a home is a kind of building	nongold
12	sunlight means solar energy	nongold
13	being  on something; placed in something; placed over something means touching  that something	nongold
14	an article of clothing is a kind of object	nongold
15	sunshine means sunlight	nongold
16	sunlight is a kind of solar energy	nongold
17	an increase is the opposite of a decrease	nongold
18	the sun is the source of solar energy called sunlight	nongold
19	to lower means to decrease	gold
20	the sun is a source of light; light energy called sunlight	nongold
21	electricity is used as an energy source by electrical devices	nongold
22	reducing is a kind of change	nongold
23	sunlight produces heat	nongold
24	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
25	to receive sunlight means to absorb sunlight	nongold
26	the sunlight occurs during the day	nongold
27	a house is a kind of home	nongold
28	if something is outside during the day then that something will receive sunlight	nongold
29	operating electrical appliances requires electricity	nongold
30	solar power means solar energy	nongold
31	an electrical device requires electricity to turn on	nongold
32	sunlight is a kind of light	nongold
33	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
34	electric devices require electrical energy to function	nongold
35	a decrease is a kind of change	nongold
36	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
37	conductivity is a measure of how easily electricity travels through a material	nongold
38	absorbing sunlight causes objects to heat	nongold
39	as the cause of something decreases , that something will decrease	nongold
40	less means a reduced amount	nongold
41	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
42	low is similar to decrease	nongold
43	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
44	An electrical conductor is a vehicle for the flow of electricity	nongold
45	clear weather means sunny; not cloudy; not rainy weather	nongold
46	receiving sunlight  is synonymous with absorbing sunlight	nongold
47	to add means to increase	nongold
48	household appliances are a kind of electrical device	nongold
49	a hand dryer is a kind of electrical device for drying hair	nongold
50	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
51	person is synonymous with human	nongold
52	to be used for something means to be required by that something	gold
53	less is similar to decrease	nongold
54	being in the sun is synonymous with being in the sunlight	nongold
55	a human is a kind of animal	nongold
56	solar energy is a kind of heat energy	nongold
57	high is similar to increase	nongold
58	an electric outlet is a source of electricity	nongold
59	rainy is a kind of weather	nongold
60	adverse effect means negative impact	nongold
61	electrical devices are used for industrial purposes; household purposes by humans	nongold
62	cloth is a kind of material	nongold
63	intensity of sunlight is similar to amount of sunlight	nongold
64	to slow; to slow down decreases speed	nongold
65	sending electricity through a conductor causes electricity; electric current to flow through that conductor	nongold
66	replacing something causes that something to decrease	nongold
67	a homeowner is a kind of human	nongold
68	to help; to benefit means to be of use	nongold
69	harming something has a  negative impact on; effect on that something	nongold
70	heat energy is synonymous with thermal energy	nongold
71	as the amount of a source of something decreases , the amount of that something will decrease	nongold
72	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
73	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
74	a source of something emits; produces; generates; provides that something	nongold
75	heating means adding heat	nongold
76	when sunlight strikes something , that something receives sunlight	nongold
77	if an object is made of a material then that object has the properties of that material	nongold
78	dry means low in amount of water; wetness; moisture	nongold
79	temperature is a measure of heat energy	nongold
80	producing electricity sometimes requires burning oil	nongold
81	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
82	an increase is a kind of change	nongold
83	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
84	to put on means to wear	nongold
85	negative impact is the opposite of positive impact	nongold
86	a thermal conductor is made of materials that conduct thermal energy	nongold
87	current means electric current	nongold
88	color is a property of  an object; a material	nongold
89	out is synonymous with outside	nongold
90	solution is similar to a positive impact	nongold
91	as the use of something decreases , the use of the source of that something will decrease	nongold
92	being in something means touching that something	nongold
93	heat has a great impact on weather	nongold
94	best means most positive	nongold
95	closing an electric circuit causes an electrical device to function	nongold
96	a cloudy day has little sunlight	nongold
97	reducing is similar to slowing	nongold
98	to be in the sun means to be in the sunlight	nongold
99	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
