Question	Which type of energy is found in fossil fuels?	question
Answer	chemical	answer
0	to be found in means to be contained in	gold
1	if something is a part of something then that something can be found in that something	nongold
2	a type is synonymous with a kind	gold
3	fossil fuel contains chemical energy	gold
4	chemical energy is a kind of energy	gold
5	found in means existing in	nongold
6	petroleum is a kind of fossil fuel	nongold
7	fossil fuels are a kind of energy resource	nongold
8	fuel contains chemical energy	nongold
9	oil is a kind of fossil fuel	nongold
10	a type of something is a kind of property of that something	nongold
11	food is a kind of chemical energy	nongold
12	hydrogen contains chemical energy	nongold
13	fossil fuels are a nonrenewable resource	nongold
14	solar energy is a kind of energy	nongold
15	oil is a kind of energy resource	nongold
16	carbohydrates store chemical energy	nongold
17	a fossil fuel is a kind of natural resource	nongold
18	a fuel is used to make energy	nongold
19	renewable is the opposite of nonrenewable	nongold
20	objects contain chemical energy	nongold
21	fuel is a kind of energy source	nongold
22	oil is a source of energy	nongold
23	classifying is when one sorts something by kind; type	nongold
24	gasoline is a source of chemical energy	nongold
25	cellular energy is a kind of chemical energy	nongold
26	light is a kind of energy	nongold
27	light is a kind of energy	nongold
28	natural gas is a kind of fossil fuel	nongold
29	natural resources are found in nature	nongold
30	resources sometimes are used for energy	nongold
31	heat is a kind of energy	nongold
32	if something is located  in somewhere , then something can be found in somewhere	nongold
33	an energy source is a kind of resource	nongold
34	fuel is a source of energy	nongold
35	coal is a kind of fossil fuel	nongold
36	a source of something emits; produces; generates; provides that something	nongold
37	oil is a nonrenewable resource	nongold
38	carbon is a kind of element	nongold
39	energy transformation means one kind of energy changes into another kind of energy	nongold
40	gasoline is a kind of fuel	nongold
41	the bonds of chemical compounds contain chemical energy	nongold
42	fossil fuels have high potential energy	nongold
43	chemical energy is a kind of potential energy	nongold
44	oil is a kind of substance; matter	nongold
45	where something  comes from is a source of that something	nongold
46	sunlight is a kind of solar energy	nongold
47	natural gas is a nonrenewable resource	nongold
48	a kind of something is an example of that something	nongold
49	different substances usually have different amount of chemical energy	nongold
50	substances contain chemical bond energy	nongold
51	form means kind	nongold
52	the potential energy in fossil fuels mostly are converted into thermal energy	nongold
53	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
54	burning gasoline is a source of  heat energy	nongold
55	composed of means made of	nongold
56	substances have chemical properties	nongold
57	carbon dioxide can be found in the air	nongold
58	answering questions requires information	nongold
59	a producer is a source of energy for consumers	nongold
60	all elements are a kind of pure substance	nongold
61	can be means able to be	nongold
62	to create means to make	nongold
63	fossil fuels release carbon dioxide into the atmosphere	nongold
64	to produce means to create	nongold
65	if something transfers something else then that something is a source of something else	nongold
66	made up of means contains; made of	nongold
67	if something is made of something else then that something can be broken down into that something else	nongold
68	chemicals means substances	nongold
69	solar energy is a kind of heat energy	nongold
70	sulfur is a kind of element	nongold
71	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
72	combustion is a kind of chemical change	nongold
73	biogas means biofuel	nongold
74	respiration releases energy	nongold
75	wood is a kind of energy resource	nongold
76	an event is a kind of action	nongold
77	a component means a part of	nongold
78	fossil fuels; fossils are formed from dead organisms over time	nongold
79	a battery contains chemical energy	nongold
80	a  chemical property is a kind of  property	nongold
81	oxygen  is a kind of element	nongold
82	photosynthesis stores; captures energy	nongold
83	a component of something means a part of that something	nongold
84	emit means produce	nongold
85	matter; energy is always conserved in any physical or chemical process	nongold
86	fossil fuels; fossils forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
87	most means over 50% of something	nongold
88	if something releases something else then that something is the source of that something else	nongold
89	a  gas is a kind of  element	nongold
90	if something comes from something else then that something else is a source of that something	nongold
91	solar energy is a renewable; inexhaustible resource	nongold
92	combustion means fire converts chemical energy into light energy and heat energy	nongold
93	biomass is a kind of energy source	nongold
94	hydrogen is a kind of element	nongold
95	carbon dioxide is a kind of gas	nongold
96	a process is a kind of event	nongold
97	electrical energy is a kind of energy	nongold
98	sulfur dioxide is formed by the combustion of fossil fuels	nongold
99	an element is a kind of  substance	nongold
