Question	A research scientist repeatedly observes a bird avoiding a specific butterfly species even  though it eats other types of butterflies. Which statement most likely explains the behavior of the bird?	question
Answer	The behavior is learned over the lifetime of the bird.	answer
0	learned behaviors are learned over the  lifetime of the animal	gold
1	a predator avoiding some types of prey is a learned behavior	gold
2	avoiding  predators is synonymous with avoiding being eaten	nongold
3	a butterfly is a kind of organism	nongold
4	a butterfly is a kind of animal	nongold
5	avoiding is similar to preventing	nongold
6	avoiding is a kind of conditioned behavior	nongold
7	avoiding something requires sensing that something	nongold
8	a butterfly is a kind of insect	gold
9	avoiding predators has a positive impact on prey's; an organism's survival; health; ability to reproduce	nongold
10	avoiding predators; escaping predators; avoiding consumers is a kind of protection	nongold
11	escape means avoid	nongold
12	a bird is a kind of living thing	nongold
13	a bird is a kind of animal	gold
14	actions mean behavior	nongold
15	an animal is a kind of living thing	nongold
16	predators eat prey	gold
17	avoiding means doing something less	nongold
18	a predator eats other animals for food	nongold
19	birds sometimes eat insects	gold
20	an animal; living thing requires nutrients for survival	nongold
21	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
22	an animal is a kind of organism	nongold
23	a living thing is a kind of object	nongold
24	lifetime is similar to life cycle	nongold
25	a type is synonymous with a kind	nongold
26	a behavior is a kind of characteristic	nongold
27	animals learn some behaviors from watching their parents	nongold
28	research is used for learning	nongold
29	an organism is a living thing	nongold
30	if an animal is trained to do something then that something is a learned behavior	nongold
31	a cycle happens; occurs repeatedly	nongold
32	a plant; living thing requires food for survival	nongold
33	food is what an animal eats	nongold
34	a butterfly is the mature form of a; adult form of a caterpillar	nongold
35	some birds are predators	gold
36	a predator is a kind of animal	nongold
37	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
38	skills are learned characteristics; behaviors	nongold
39	eating prey requires catching prey	nongold
40	an animal needs to eat food for nutrients	nongold
41	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
42	diet means what an animal eats	nongold
43	to eat means to consume food	nongold
44	a scientist is a kind of human	nongold
45	a human is a kind of animal	nongold
46	animal instinct means instinctive behavior	nongold
47	prey is a kind of food for predators	nongold
48	an animal is a member of an animal species	nongold
49	a learned characteristic is a kind of acquired characteristic	nongold
50	prey  is a kind of animal	nongold
51	eating an animal; a plant means killing that animal; that plant	nongold
52	an insect is a kind of animal	nongold
53	to prey on an animal means to eat that animal	nongold
54	conditioned behavior is a kind of learned behavior	nongold
55	avoiding is a kind of defense	nongold
56	communication is a learned behavior	nongold
57	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
58	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
59	social behavior is a kind of learned behavior	nongold
60	a caterpillar is the immature form of a butterfly	nongold
61	an animal knows how to do  instinctive behaviors when it is born	nongold
62	an insect is a kind of prey	nongold
63	if a living thing requires something then that something has a positive impact on that living thing	nongold
64	if an organism eats something then that something is a source of frood to that organism	nongold
65	A bird is a pollinating animal	nongold
66	become prey means get eaten	nongold
67	learning about something sometimes requires observing that something	nongold
68	a food contains nutrients for living things	nongold
69	locomotion is a generally learned behavior	nongold
70	a type of something is a kind of property of that something	nongold
71	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
72	a predator usually kills its prey to eat it	nongold
73	an organism eating is a kind of action	nongold
74	learning; studying information causes one to know that information	nongold
75	trait is synonymous with characteristic	nongold
76	high is similar to increase	nongold
77	killing means harming something causing death	nongold
78	Behavioral adaptation is a behavioral change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
79	scientists make observations	nongold
80	human is a kind of organism	nongold
81	species means a group of like organisms	nongold
82	reproductive behavior is an inherited characteristic	nongold
83	An example of being careful is avoiding danger	nongold
84	life means living things	nongold
85	predators; carnivores; omnivores eat other animals	nongold
86	researcher is a kind of scientist	nongold
87	certain is similar to specific	nongold
88	mimicry is used for avoiding predators by animals by camouflaging as a dangerous animal	nongold
89	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
90	throughout means over	nongold
91	eating certain foods is a kind of habit	nongold
92	answering questions requires information	nongold
93	nonliving; non-living; die is the opposite of living; alive; live	nongold
94	to act on means to affect	nongold
95	using tools is a learned characteristic	nongold
96	An insect is a pollinating animal	nongold
97	a plant is a kind of living thing	nongold
98	a plant is a kind of organism	nongold
99	events occur at a specific place; at a specific time; with a specific frequency	nongold
