Question	Which gas is given off by plants?	question
Answer	Oxygen	answer
0	to give off means to be the source of	gold
1	if something is given off of something , then something is the product of something	nongold
2	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
3	a plant is a kind of living thing	nongold
4	vegetation means plants	nongold
5	a tree is a kind of plant	nongold
6	fire gives off light; heat; smoke	nongold
7	plants are a source of oxygen through photosynthesis	gold
8	a plant is a kind of organism	nongold
9	to give is similar to to cause	nongold
10	give off is similar to make	nongold
11	transferring is similar to giving	nongold
12	oxygen is a kind of gas at room temperature	gold
13	green plants are a kind of producer	gold
14	a tree is a kind of living thing	nongold
15	a leaf performs photosynthesis; gas exchange	nongold
16	a plant is a member of a plant species	nongold
17	carbon dioxide is a kind of gas	nongold
18	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	gold
19	a leaf is a part of a  green plant	nongold
20	a leaf is a kind of plant	nongold
21	a source of something emits; produces; generates; provides that something	nongold
22	plants are a source of biofuel	nongold
23	dead plants means dead plant material	nongold
24	transpiration is when water vapor moves from plants;leaves into the atmosphere	nongold
25	when carbon dioxide in the atmosphere is absorbed by plants , the amount of carbon dioxide in the atmosphere is reduced in the atmosphere	nongold
26	provide is similar to give; make	nongold
27	if something transfers something else then that something is a source of something else	nongold
28	nitrogen is a kind of gas	nongold
29	a  gas is a kind of  element	nongold
30	a shrub is a kind of plant	nongold
31	In the food chain process a  green plant has the role of  producer	nongold
32	a leaf is a part of a tree	nongold
33	plant parts are made of plants	nongold
34	oxygen  is a kind of element	nongold
35	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
36	to exhale means to release	nongold
37	to emit means to release	nongold
38	if a plant dies then that plant will not produce food	nongold
39	gas is a kind of substance	nongold
40	a fungus is a kind of organism	nongold
41	plants are a part of the environment	nongold
42	a volatile substance gives off gas	nongold
43	animals are a source of carbon dioxide by exhaling	nongold
44	a plant is made of plant cells	nongold
45	if something releases something else then that something is the source of that something else	nongold
46	air is a kind of gas	nongold
47	grass is a kind of green plant	nongold
48	oxygen gas is made of only  oxygen element	nongold
49	an animal; bacterium requires oxygen for survival; to breathe	nongold
50	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
51	to be used for something means to be required by that something	nongold
52	an organism is a living thing	nongold
53	vapor is synonymous with gas	nongold
54	a fungus is a kind of living thing	nongold
55	a plant; living thing requires food for survival	nongold
56	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
57	where something  comes from is a source of that something	nongold
58	roots are a part of a plant; tree	nongold
59	a tree is a kind of matter	nongold
60	carbon dioxide is a kind of greenhouse gas	nongold
61	the emission of something is when something is added into the atmosphere	nongold
62	chemical reactions can cause gas to be released into the atmosphere	nongold
63	a leaf is a kind of plant organ	nongold
64	biofuel releases carbon dioxide into the atmosphere	nongold
65	the Earth's atmosphere is made of 78 percent nitrogen by mass	nongold
66	fire destroys plants in an environment	nongold
67	carbon is a kind of element	nongold
68	a plant cell is a kind of cell	nongold
69	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
70	exhaling  is when an animal expels air from the lungs	nongold
71	bacteria in soil convert atmospheric nitrogen into ammonia for plants	nongold
72	plant and animal matter means organic matter	nongold
73	natural gas is used for cooking food by burning	nongold
74	remaining energy not used by plants or transferred to consumers is released into the ecosystem as heat	nongold
75	atmosphere means  air	nongold
76	a vegetable is a kind of plant	nongold
77	releasing something into the atmosphere increases the amount of that something in the atmosphere	nongold
78	combustion is a kind of exergonic reaction	nongold
79	gas is a kind of material	nongold
80	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
81	plants control the amount of water in their leaves through transpiration	nongold
82	a mushroom is a kind of fungus	nongold
83	photosynthesis is a source of oxygen	nongold
84	fossil fuels release carbon dioxide into the atmosphere	nongold
85	an animal is a kind of living thing	nongold
86	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
87	organisms are made of carbon	nongold
88	growing legumes provides nitrogen for other plants	nongold
89	converting is similar to releasing	nongold
90	breathing out is when animals exhale carbon dioxide from their lungs into the air	nongold
91	if something comes from something else then that something else is a source of that something	nongold
92	plant cells can perform photosynthesis	nongold
93	if a living thing dies then that living thing is dead	nongold
94	a source of something supplies that something	nongold
95	the air is a kind of substance	nongold
96	algae is a kind of plant	nongold
97	water vapor is a kind of greenhouse gas	nongold
98	In the photosynthesis process oxygen has the role of  waste product	nongold
99	legumes contain nitrogen	nongold
